hazard_label,surface_type,weather_condition,bounding_box_area_px,aspect_ratio,intensity_contrast,edge_density,depth_est_cm,repair_urgency_score,is_hazardous
Pothole,Concrete,Clear,4581.8,1.45,47.15,0.427,17.1,0.808,1
Road Debris,Concrete,Rainy,2391.5,1.09,53.13,0.474,5.4,0.512,1
Road Debris,Asphalt,Clear,3021.2,1.69,68.03,0.26,6.9,0.468,1
Surface Crack,Asphalt,Overcast,1649.1,2.81,41.93,0.477,1.4,0.334,1
Normal Clear,Asphalt,Clear,93.2,1.05,9.38,0.113,0.0,0.02,0
Normal Clear,Asphalt,Clear,230.2,1.14,5.8,0.125,0.0,0.02,0
Normal Clear,Asphalt,Clear,228.8,1.0,17.29,0.063,0.0,0.02,0
Surface Crack,Concrete,Clear,680.3,2.96,58.83,0.501,3.5,0.577,1
Pothole,Asphalt,Night / Low Light,4457.6,1.7,94.46,0.472,14.4,0.701,1
Normal Clear,Asphalt,Rainy,109.5,0.75,10.86,0.127,0.0,0.02,0
Normal Clear,Asphalt,Clear,182.3,1.14,15.56,0.093,0.0,0.02,0
Pothole,Concrete,Clear,4644.7,1.4,61.45,0.307,14.6,0.715,1
Normal Clear,Asphalt,Rainy,174.7,1.03,10.69,0.08,0.0,0.02,0
Normal Clear,Asphalt,Clear,66.5,1.08,18.37,0.059,0.0,0.02,0
Road Debris,Asphalt,Rainy,1754.4,1.57,83.46,0.366,10.5,0.491,1
Road Debris,Concrete,Rainy,4187.7,1.54,60.98,0.241,4.7,0.471,1
Surface Crack,Concrete,Night / Low Light,1920.4,3.41,50.59,0.633,1.6,0.568,1
Pothole,Asphalt,Overcast,5062.2,1.25,82.79,0.455,9.4,0.636,1
Surface Crack,Asphalt,Overcast,1749.9,4.88,25.71,0.786,2.2,0.569,1
Normal Clear,Asphalt,Overcast,141.4,0.77,11.73,0.013,0.0,0.02,0
Pothole,Asphalt,Clear,4904.3,1.34,88.11,0.404,6.0,0.385,1
Surface Crack,Concrete,Clear,2244.7,3.45,44.67,0.614,2.6,0.546,1
Surface Crack,Concrete,Clear,1850.0,3.43,42.35,0.658,3.3,0.6,1
Road Debris,Concrete,Overcast,2527.0,1.26,52.77,0.397,6.7,0.398,1
Normal Clear,Concrete,Overcast,104.4,0.94,10.45,0.073,0.0,0.02,0
Surface Crack,Asphalt,Overcast,1601.3,4.11,31.32,0.754,1.2,0.385,1
Surface Crack,Asphalt,Clear,3072.5,5.51,31.64,0.457,2.2,0.513,1
Normal Clear,Concrete,Overcast,115.5,0.99,13.01,0.041,0.0,0.02,0
Surface Crack,Asphalt,Clear,1719.0,3.01,36.17,0.676,2.8,0.6,1
Pothole,Concrete,Clear,4801.0,1.35,79.73,0.531,4.5,0.478,1
Surface Crack,Asphalt,Clear,3263.9,4.13,40.11,0.567,2.4,0.599,1
Pothole,Asphalt,Clear,4378.4,0.82,57.82,0.345,15.5,0.743,1
Pothole,Gravel,Rainy,3730.7,1.7,79.82,0.483,17.1,0.843,1
Surface Crack,Asphalt,Clear,1411.8,3.82,33.16,0.538,2.3,0.57,1
Surface Crack,Gravel,Rainy,1305.0,2.48,55.19,0.395,1.8,0.39,1
Normal Clear,Gravel,Rainy,146.8,1.07,6.75,0.063,0.0,0.02,0
Surface Crack,Concrete,Overcast,2087.3,4.12,41.32,0.674,2.6,0.559,1
Road Debris,Concrete,Night / Low Light,1417.6,1.1,46.75,0.303,3.2,0.552,1
Road Debris,Asphalt,Clear,1946.0,1.38,55.08,0.252,7.1,0.68,1
Pothole,Concrete,Overcast,4815.2,0.76,56.41,0.355,7.5,0.555,1
Normal Clear,Asphalt,Overcast,127.9,1.43,14.68,0.01,0.0,0.02,0
Pothole,Asphalt,Clear,5559.9,1.18,51.32,0.524,14.7,0.788,1
Normal Clear,Asphalt,Rainy,153.9,1.18,22.18,0.131,0.0,0.02,0
Pothole,Asphalt,Clear,3873.0,0.76,63.13,0.344,15.6,0.809,1
Surface Crack,Asphalt,Clear,1924.3,2.75,44.3,0.431,2.2,0.486,1
Pothole,Asphalt,Night / Low Light,4106.6,1.19,68.19,0.434,10.6,0.615,1
Normal Clear,Asphalt,Overcast,124.1,1.16,9.42,0.038,0.0,0.02,0
Road Debris,Concrete,Clear,2571.2,1.78,67.78,0.33,8.4,0.447,1
Road Debris,Asphalt,Overcast,3369.5,1.7,43.72,0.447,8.4,0.41,1
Pothole,Gravel,Overcast,3812.8,0.8,75.09,0.291,14.5,0.792,1
Normal Clear,Concrete,Overcast,136.9,0.53,18.94,0.048,0.0,0.02,0
Pothole,Concrete,Clear,4892.3,1.17,66.82,0.485,11.5,0.701,1
Normal Clear,Asphalt,Overcast,203.4,1.07,14.35,0.095,0.0,0.02,0
Pothole,Concrete,Clear,5543.4,0.87,82.41,0.437,7.1,0.52,1
Pothole,Asphalt,Rainy,2855.0,1.68,67.85,0.443,7.2,0.479,1
Pothole,Concrete,Clear,3077.5,1.25,59.4,0.352,4.2,0.319,1
Surface Crack,Asphalt,Clear,2008.0,3.43,48.97,0.798,2.8,0.573,1
Road Debris,Concrete,Night / Low Light,2812.8,2.31,62.54,0.258,11.4,0.498,1
Pothole,Gravel,Clear,6511.7,1.42,83.11,0.428,4.5,0.441,1
Normal Clear,Asphalt,Clear,63.5,1.04,10.24,0.035,0.0,0.02,0
Surface Crack,Asphalt,Clear,1377.9,3.41,54.12,0.502,2.4,0.554,1
Road Debris,Concrete,Night / Low Light,2493.5,1.38,61.62,0.314,5.8,0.552,1
Surface Crack,Asphalt,Clear,2650.5,3.62,50.62,0.722,0.6,0.348,1
Surface Crack,Concrete,Overcast,1710.1,5.02,48.71,0.533,2.5,0.525,1
Road Debris,Asphalt,Clear,2485.8,1.89,59.43,0.348,4.0,0.553,1
Pothole,Asphalt,Clear,4105.3,1.42,70.04,0.459,7.2,0.446,1
Pothole,Gravel,Clear,2522.5,1.04,78.23,0.267,15.2,0.649,1
Normal Clear,Concrete,Rainy,248.0,1.06,7.83,0.091,0.0,0.02,0
Normal Clear,Concrete,Clear,130.9,1.09,11.83,0.082,0.0,0.02,0
Surface Crack,Asphalt,Clear,1253.0,4.89,35.75,0.539,2.7,0.624,1
Pothole,Concrete,Overcast,4678.1,1.53,54.74,0.37,9.6,0.597,1
Road Debris,Asphalt,Rainy,513.2,1.39,66.78,0.233,4.2,0.534,1
Surface Crack,Asphalt,Clear,1897.3,6.01,54.4,0.73,3.4,0.569,1
Pothole,Concrete,Clear,6370.0,1.4,59.72,0.413,15.2,0.865,1
Pothole,Asphalt,Overcast,3026.0,0.9,95.39,0.386,8.4,0.351,1
Normal Clear,Asphalt,Clear,50.6,0.83,5.92,0.092,0.0,0.02,0
Normal Clear,Asphalt,Clear,150.0,1.06,11.58,0.038,0.0,0.02,0
Pothole,Concrete,Night / Low Light,5116.2,1.78,72.91,0.386,9.2,0.618,1
Pothole,Asphalt,Rainy,3855.4,1.43,71.25,0.529,15.7,0.813,1
Pothole,Concrete,Rainy,3709.8,1.25,57.82,0.421,14.3,0.745,1
Normal Clear,Asphalt,Clear,153.1,1.08,7.18,0.095,0.0,0.02,0
Pothole,Asphalt,Clear,2957.7,1.49,79.56,0.448,5.1,0.34,1
Pothole,Concrete,Rainy,6058.0,0.87,51.37,0.419,11.7,0.631,1
Normal Clear,Asphalt,Clear,78.1,0.92,17.06,0.049,0.0,0.02,0
Pothole,Asphalt,Rainy,6206.1,1.25,73.8,0.456,9.3,0.657,1
Normal Clear,Asphalt,Rainy,82.1,0.98,15.87,0.058,0.0,0.02,0
Pothole,Asphalt,Clear,4871.5,1.36,57.67,0.414,4.8,0.363,1
Pothole,Concrete,Overcast,1829.1,1.24,82.27,0.443,13.9,0.603,1
Pothole,Asphalt,Overcast,6374.7,2.08,71.01,0.367,16.8,0.912,1
Normal Clear,Concrete,Night / Low Light,128.7,0.94,14.13,0.094,0.0,0.02,0
Normal Clear,Asphalt,Clear,254.7,0.69,19.03,0.074,0.0,0.02,0
Normal Clear,Asphalt,Clear,145.5,1.17,15.41,0.115,0.0,0.02,0
Surface Crack,Gravel,Rainy,2624.9,3.76,56.1,0.587,0.7,0.354,1
Normal Clear,Asphalt,Clear,205.6,0.89,5.97,0.084,0.0,0.02,0
Pothole,Asphalt,Overcast,3774.3,1.39,57.38,0.358,11.2,0.553,1
Surface Crack,Asphalt,Clear,1524.7,4.96,43.94,0.751,1.1,0.418,1
Normal Clear,Asphalt,Rainy,163.7,0.76,20.23,0.066,0.0,0.02,0
Pothole,Asphalt,Clear,5287.3,1.43,66.32,0.469,6.9,0.446,1
Pothole,Asphalt,Rainy,4653.1,0.92,59.96,0.348,4.4,0.36,1
Pothole,Asphalt,Clear,5851.7,1.68,79.74,0.522,5.6,0.434,1
Pothole,Asphalt,Clear,4025.9,1.34,75.99,0.373,17.5,0.799,1
Pothole,Asphalt,Clear,6054.2,1.32,57.94,0.366,15.0,0.898,1
Road Debris,Asphalt,Overcast,3544.7,2.33,72.12,0.246,5.5,0.592,1
Surface Crack,Asphalt,Clear,1567.6,4.63,59.61,0.692,3.5,0.555,1
Normal Clear,Concrete,Overcast,64.3,1.08,13.75,0.072,0.0,0.02,0
Normal Clear,Gravel,Overcast,236.1,1.2,5.61,0.075,0.0,0.02,0
Surface Crack,Asphalt,Clear,1236.2,4.26,44.76,0.562,0.6,0.443,1
Pothole,Concrete,Night / Low Light,3439.3,1.24,74.08,0.474,10.4,0.599,1
Surface Crack,Asphalt,Clear,1702.6,2.71,38.31,0.602,0.9,0.418,1
Road Debris,Asphalt,Overcast,1844.5,1.81,45.8,0.351,6.0,0.352,1
Pothole,Asphalt,Rainy,3396.7,1.19,56.07,0.54,15.4,0.7,1
Road Debris,Asphalt,Clear,2053.4,1.52,49.44,0.309,8.2,0.4,1
Surface Crack,Asphalt,Clear,2167.6,3.16,52.49,0.73,1.5,0.455,1
Road Debris,Asphalt,Clear,3166.4,1.77,57.95,0.288,3.8,0.533,1
Surface Crack,Asphalt,Overcast,2980.9,3.54,41.39,0.768,2.6,0.566,1
Surface Crack,Gravel,Clear,1753.6,6.41,39.54,0.614,1.7,0.377,1
Normal Clear,Asphalt,Night / Low Light,70.4,1.02,9.86,0.056,0.0,0.02,0
Normal Clear,Asphalt,Clear,154.7,0.86,17.16,0.061,0.0,0.02,0
Pothole,Concrete,Overcast,6306.4,1.19,60.18,0.362,7.0,0.62,1
Normal Clear,Asphalt,Clear,187.9,1.14,11.2,0.101,0.0,0.02,0
Surface Crack,Asphalt,Rainy,436.1,3.91,51.89,0.567,1.5,0.356,1
Normal Clear,Concrete,Rainy,78.6,1.09,12.92,0.07,0.0,0.02,0
Normal Clear,Gravel,Night / Low Light,252.6,1.12,16.89,0.078,0.0,0.02,0
Surface Crack,Concrete,Clear,1473.9,3.21,52.42,0.727,3.0,0.59,1
Pothole,Concrete,Clear,3034.4,1.46,64.15,0.371,11.7,0.609,1
Pothole,Concrete,Clear,3149.9,1.48,93.77,0.364,5.4,0.276,1
Road Debris,Gravel,Night / Low Light,2778.4,1.41,57.3,0.34,2.3,0.388,1
Road Debris,Asphalt,Clear,3246.3,2.15,43.02,0.205,5.3,0.46,1
Pothole,Asphalt,Rainy,4883.9,1.17,65.65,0.533,6.8,0.453,1
Pothole,Asphalt,Clear,4947.9,1.03,53.4,0.419,7.9,0.465,1
Normal Clear,Asphalt,Overcast,73.1,1.44,8.14,0.075,0.0,0.02,0
Normal Clear,Concrete,Overcast,162.9,0.94,10.84,0.093,0.0,0.02,0
Road Debris,Asphalt,Rainy,3873.6,1.81,69.79,0.237,9.1,0.531,1
Pothole,Asphalt,Clear,4966.2,0.96,69.73,0.345,11.9,0.621,1
Pothole,Asphalt,Clear,4215.8,1.16,56.96,0.505,10.3,0.595,1
Pothole,Concrete,Clear,4121.4,1.47,69.75,0.476,16.5,0.817,1
Normal Clear,Asphalt,Clear,185.0,1.02,7.64,0.037,0.0,0.02,0
Pothole,Concrete,Night / Low Light,4627.8,1.04,79.03,0.48,6.1,0.371,1
Road Debris,Asphalt,Rainy,2300.9,1.12,59.52,0.289,4.9,0.528,1
Pothole,Asphalt,Overcast,4333.8,1.55,67.94,0.385,5.2,0.389,1
Road Debris,Asphalt,Clear,2706.0,1.67,38.97,0.223,2.4,0.383,1
Normal Clear,Asphalt,Night / Low Light,174.3,1.42,15.55,0.077,0.0,0.02,0
Normal Clear,Concrete,Rainy,150.2,0.9,8.2,0.063,0.0,0.02,0
Pothole,Gravel,Rainy,3573.4,1.4,55.15,0.527,11.2,0.646,1
Pothole,Asphalt,Clear,4501.1,0.72,75.55,0.551,16.5,0.787,1
Pothole,Asphalt,Rainy,3155.8,0.98,57.69,0.362,6.7,0.38,1
Normal Clear,Asphalt,Rainy,128.5,1.15,14.69,0.034,0.0,0.02,0
Normal Clear,Concrete,Night / Low Light,120.3,1.25,13.18,0.09,0.0,0.02,0
Road Debris,Concrete,Overcast,2715.1,1.4,54.59,0.276,5.7,0.586,1
Road Debris,Asphalt,Clear,2421.2,1.41,50.83,0.295,5.7,0.446,1
Normal Clear,Asphalt,Clear,114.6,0.97,16.07,0.099,0.0,0.02,0
Pothole,Concrete,Rainy,2605.0,1.07,60.34,0.295,13.5,0.651,1
Normal Clear,Asphalt,Rainy,228.0,0.99,7.01,0.046,0.0,0.02,0
Surface Crack,Asphalt,Clear,2008.9,3.37,44.23,0.811,2.1,0.516,1
Surface Crack,Asphalt,Night / Low Light,1389.4,4.19,56.07,0.736,1.6,0.398,1
Road Debris,Asphalt,Overcast,1759.4,2.69,69.67,0.252,10.8,0.691,1
Pothole,Concrete,Overcast,4631.2,1.17,81.86,0.39,6.2,0.46,1
Pothole,Gravel,Clear,5530.0,1.31,71.5,0.484,11.4,0.735,1
Normal Clear,Asphalt,Overcast,108.0,1.47,14.76,0.093,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4383.3,1.4,69.34,0.422,14.0,0.727,1
Road Debris,Asphalt,Rainy,2860.3,1.6,50.17,0.298,11.7,0.485,1
Pothole,Asphalt,Rainy,2677.2,1.21,59.39,0.382,8.7,0.447,1
Surface Crack,Asphalt,Overcast,1931.9,2.22,60.43,0.64,0.8,0.45,1
Surface Crack,Asphalt,Rainy,1647.2,5.89,45.4,0.565,3.1,0.655,1
Surface Crack,Asphalt,Clear,929.9,3.58,43.11,0.755,2.8,0.467,1
Normal Clear,Asphalt,Rainy,194.0,1.07,17.13,0.054,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1651.7,3.4,52.47,0.715,1.0,0.406,1
Road Debris,Asphalt,Clear,3858.3,1.65,56.61,0.397,8.2,0.563,1
Surface Crack,Asphalt,Overcast,2086.6,3.03,55.0,0.644,0.9,0.379,1
Normal Clear,Asphalt,Night / Low Light,131.7,0.87,12.55,0.07,0.0,0.02,0
Normal Clear,Gravel,Rainy,175.1,0.68,11.55,0.084,0.0,0.02,0
Normal Clear,Asphalt,Clear,134.5,0.97,5.66,0.091,0.0,0.02,0
Pothole,Asphalt,Rainy,5277.1,1.35,80.46,0.436,13.0,0.73,1
Pothole,Concrete,Clear,4670.7,1.7,77.94,0.495,17.7,0.876,1
Pothole,Gravel,Clear,1547.5,1.16,82.07,0.413,13.0,0.576,1
Road Debris,Asphalt,Rainy,1963.7,1.37,34.72,0.28,4.3,0.388,1
Pothole,Concrete,Clear,4279.2,1.35,55.9,0.358,15.6,0.736,1
Surface Crack,Asphalt,Rainy,2252.4,3.94,26.09,0.75,1.6,0.468,1
Road Debris,Asphalt,Clear,2388.0,1.85,56.59,0.305,11.1,0.236,1
Surface Crack,Asphalt,Clear,1266.4,4.35,46.27,0.638,1.1,0.358,1
Normal Clear,Concrete,Clear,101.9,0.99,14.75,0.11,0.0,0.02,0
Pothole,Concrete,Overcast,5477.7,1.11,68.6,0.453,11.9,0.733,1
Pothole,Asphalt,Rainy,2489.9,0.66,61.42,0.416,6.8,0.365,1
Normal Clear,Asphalt,Night / Low Light,263.7,1.19,5.8,0.125,0.0,0.02,0
Surface Crack,Asphalt,Clear,2515.9,3.49,47.45,0.649,1.8,0.46,1
Normal Clear,Asphalt,Clear,157.3,1.19,13.65,0.097,0.0,0.02,0
Surface Crack,Asphalt,Overcast,802.1,6.15,31.79,0.666,3.2,0.615,1
Pothole,Concrete,Clear,2411.2,1.08,73.06,0.354,8.4,0.442,1
Normal Clear,Concrete,Clear,181.9,1.16,19.97,0.135,0.0,0.02,0
Normal Clear,Concrete,Rainy,166.2,1.03,9.87,0.102,0.0,0.02,0
Normal Clear,Concrete,Clear,185.4,0.85,14.88,0.11,0.0,0.02,0
Pothole,Asphalt,Overcast,3154.0,1.26,67.21,0.42,10.0,0.476,1
Road Debris,Concrete,Rainy,3526.8,0.95,59.0,0.259,11.8,0.537,1
Surface Crack,Asphalt,Clear,1987.6,2.26,36.04,0.588,3.3,0.635,1
Pothole,Asphalt,Clear,3328.3,1.49,73.39,0.56,5.5,0.353,1
Normal Clear,Asphalt,Clear,187.2,1.0,18.96,0.032,0.0,0.02,0
Pothole,Asphalt,Overcast,5508.3,1.26,51.16,0.255,13.4,0.702,1
Normal Clear,Asphalt,Night / Low Light,138.6,1.02,8.16,0.027,0.0,0.02,0
Surface Crack,Asphalt,Clear,1673.8,3.45,41.89,0.672,0.6,0.332,1
Pothole,Concrete,Clear,6551.9,0.83,72.71,0.561,8.7,0.659,1
Road Debris,Asphalt,Night / Low Light,3788.4,1.21,56.94,0.339,9.9,0.452,1
Normal Clear,Asphalt,Rainy,122.4,0.74,12.52,0.038,0.0,0.02,0
Normal Clear,Gravel,Clear,195.5,1.12,14.23,0.04,0.0,0.02,0
Normal Clear,Asphalt,Clear,142.5,0.92,12.41,0.096,0.0,0.02,0
Normal Clear,Asphalt,Clear,124.3,0.9,14.72,0.046,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,112.7,1.0,15.6,0.051,0.0,0.02,0
Normal Clear,Asphalt,Overcast,239.5,0.73,18.2,0.116,0.0,0.02,0
Pothole,Asphalt,Clear,2783.9,0.71,76.64,0.39,9.8,0.451,1
Surface Crack,Asphalt,Rainy,2231.0,4.05,45.08,0.51,1.8,0.433,1
Pothole,Asphalt,Clear,5472.6,1.48,70.78,0.439,7.3,0.526,1
Normal Clear,Asphalt,Clear,166.4,1.03,13.98,0.046,0.0,0.02,0
Normal Clear,Asphalt,Clear,159.9,1.02,12.93,0.082,0.0,0.02,0
Pothole,Asphalt,Overcast,2972.1,0.8,41.43,0.485,4.0,0.329,1
Normal Clear,Asphalt,Rainy,191.7,0.84,16.98,0.013,0.0,0.02,0
Normal Clear,Concrete,Rainy,167.6,1.01,10.76,0.081,0.0,0.02,0
Pothole,Asphalt,Clear,5199.3,0.66,80.01,0.387,7.6,0.571,1
Road Debris,Asphalt,Clear,2186.4,1.9,54.58,0.289,8.5,0.456,1
Normal Clear,Concrete,Clear,70.9,1.02,9.51,0.065,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,6281.6,0.95,66.09,0.383,10.7,0.667,1
Normal Clear,Asphalt,Clear,182.4,1.01,12.66,0.059,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,2844.8,6.93,42.77,0.685,0.6,0.304,1
Normal Clear,Concrete,Clear,215.2,1.19,5.88,0.07,0.0,0.02,0
Normal Clear,Concrete,Clear,89.7,0.43,7.08,0.083,0.0,0.02,0
Normal Clear,Asphalt,Rainy,179.0,0.94,17.5,0.111,0.0,0.02,0
Surface Crack,Concrete,Clear,1724.8,3.52,48.06,0.648,3.2,0.549,1
Normal Clear,Asphalt,Clear,206.7,0.74,15.86,0.102,0.0,0.02,0
Normal Clear,Asphalt,Clear,49.1,1.26,12.37,0.092,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,1281.1,5.2,35.51,0.733,1.2,0.433,1
Normal Clear,Asphalt,Night / Low Light,241.2,0.77,15.62,0.044,0.0,0.02,0
Pothole,Concrete,Clear,7041.0,0.72,76.88,0.49,7.6,0.63,1
Road Debris,Asphalt,Rainy,3424.8,0.99,65.9,0.363,8.8,0.346,1
Pothole,Asphalt,Clear,2620.8,1.0,62.24,0.373,17.1,0.792,1
Pothole,Gravel,Clear,4816.6,1.27,65.76,0.487,15.9,0.782,1
Pothole,Asphalt,Clear,5475.5,1.12,69.29,0.393,13.8,0.787,1
Normal Clear,Asphalt,Overcast,85.9,0.99,8.38,0.104,0.0,0.02,0
Surface Crack,Asphalt,Clear,2288.7,1.71,38.37,0.504,2.9,0.555,1
Normal Clear,Concrete,Clear,59.4,0.57,14.91,0.021,0.0,0.02,0
Pothole,Concrete,Clear,3127.3,1.29,69.08,0.446,8.2,0.454,1
Surface Crack,Asphalt,Clear,833.4,2.79,43.81,0.561,1.5,0.433,1
Road Debris,Concrete,Rainy,1879.9,1.36,61.69,0.347,6.3,0.651,1
Normal Clear,Asphalt,Clear,117.1,0.74,5.03,0.112,0.0,0.02,0
Surface Crack,Concrete,Clear,1595.2,3.52,43.73,0.751,2.4,0.592,1
Road Debris,Asphalt,Rainy,2474.9,1.04,83.0,0.312,3.1,0.538,1
Normal Clear,Asphalt,Clear,175.5,0.89,12.67,0.117,0.0,0.02,0
Road Debris,Gravel,Night / Low Light,4363.0,1.84,73.63,0.262,3.1,0.355,1
Pothole,Asphalt,Rainy,5743.9,1.11,54.21,0.515,9.4,0.682,1
Pothole,Asphalt,Clear,5936.1,1.33,67.45,0.385,14.6,0.926,1
Normal Clear,Asphalt,Night / Low Light,181.2,1.05,12.03,0.08,0.0,0.02,0
Pothole,Gravel,Clear,3684.6,0.88,63.65,0.515,11.5,0.534,1
Normal Clear,Asphalt,Rainy,173.2,1.23,12.26,0.13,0.0,0.02,0
Road Debris,Asphalt,Clear,4658.6,1.71,45.07,0.267,11.0,0.454,1
Normal Clear,Asphalt,Clear,164.4,1.38,12.19,0.14,0.0,0.02,0
Normal Clear,Asphalt,Rainy,175.8,0.91,16.59,0.073,0.0,0.02,0
Normal Clear,Asphalt,Overcast,162.6,0.73,5.97,0.097,0.0,0.02,0
Surface Crack,Concrete,Overcast,2462.2,5.94,38.53,0.796,2.8,0.648,1
Normal Clear,Gravel,Rainy,227.9,0.86,12.4,0.081,0.0,0.02,0
Surface Crack,Asphalt,Clear,1958.3,2.2,45.89,0.507,1.5,0.376,1
Surface Crack,Asphalt,Clear,1890.9,3.9,40.33,0.547,1.5,0.421,1
Road Debris,Asphalt,Clear,3643.8,1.63,63.72,0.29,6.8,0.47,1
Normal Clear,Asphalt,Rainy,287.2,1.09,18.54,0.059,0.0,0.02,0
Normal Clear,Concrete,Clear,127.6,0.95,21.89,0.074,0.0,0.02,0
Normal Clear,Asphalt,Overcast,108.8,1.26,12.24,0.073,0.0,0.02,0
Surface Crack,Asphalt,Clear,1433.8,4.34,53.5,0.729,2.0,0.474,1
Surface Crack,Concrete,Clear,2062.8,3.8,43.78,0.698,0.9,0.389,1
Normal Clear,Asphalt,Clear,136.5,1.56,13.97,0.043,0.0,0.02,0
Pothole,Asphalt,Overcast,5286.7,1.32,55.4,0.443,8.9,0.598,1
Pothole,Asphalt,Night / Low Light,2461.9,1.44,52.82,0.571,12.7,0.59,1
Surface Crack,Concrete,Rainy,1770.6,4.54,43.68,0.578,3.2,0.626,1
Surface Crack,Gravel,Clear,1257.4,2.9,50.2,0.479,2.1,0.605,1
Surface Crack,Asphalt,Overcast,1756.8,4.96,39.51,0.701,2.5,0.52,1
Pothole,Gravel,Clear,4259.7,1.8,60.93,0.439,15.9,0.881,1
Pothole,Asphalt,Overcast,5107.8,1.22,72.04,0.556,8.6,0.547,1
Pothole,Asphalt,Rainy,5527.8,1.2,57.62,0.359,8.2,0.462,1
Normal Clear,Asphalt,Clear,120.8,1.28,6.07,0.104,0.0,0.02,0
Surface Crack,Asphalt,Rainy,2327.6,6.5,53.31,0.745,3.3,0.643,1
Surface Crack,Asphalt,Night / Low Light,3658.0,3.83,46.14,0.776,2.1,0.509,1
Normal Clear,Asphalt,Clear,155.0,0.98,12.53,0.117,0.0,0.02,0
Pothole,Asphalt,Overcast,4604.5,1.26,65.0,0.459,12.6,0.661,1
Normal Clear,Asphalt,Clear,144.0,0.72,16.23,0.123,0.0,0.02,0
Normal Clear,Asphalt,Clear,194.9,0.97,16.18,0.183,0.0,0.02,0
Pothole,Concrete,Clear,4638.2,0.81,60.96,0.47,11.4,0.681,1
Surface Crack,Asphalt,Clear,1328.5,5.03,46.62,0.679,2.7,0.606,1
Normal Clear,Asphalt,Rainy,41.9,1.18,14.82,0.088,0.0,0.02,0
Normal Clear,Asphalt,Clear,63.5,0.84,7.33,0.02,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,1798.3,2.92,66.0,0.633,1.6,0.505,1
Road Debris,Concrete,Clear,2750.7,1.54,60.45,0.24,3.5,0.625,1
Pothole,Asphalt,Overcast,4238.5,1.13,90.26,0.45,15.6,0.804,1
Normal Clear,Asphalt,Rainy,161.9,0.99,13.93,0.086,0.0,0.02,0
Pothole,Concrete,Overcast,3915.6,1.38,71.37,0.517,4.2,0.239,1
Normal Clear,Asphalt,Clear,126.3,0.96,17.37,0.083,0.0,0.02,0
Road Debris,Asphalt,Clear,2621.8,0.92,51.91,0.286,7.1,0.516,1
Road Debris,Asphalt,Clear,1814.6,2.38,67.02,0.304,10.4,0.457,1
Road Debris,Gravel,Rainy,1904.3,1.66,72.08,0.355,2.4,0.529,1
Pothole,Asphalt,Overcast,4876.0,1.42,84.1,0.501,13.3,0.755,1
Pothole,Asphalt,Clear,3202.0,0.75,69.89,0.425,13.9,0.655,1
Pothole,Asphalt,Clear,2402.4,0.87,57.12,0.263,12.9,0.548,1
Pothole,Asphalt,Overcast,3794.0,1.47,75.75,0.331,13.4,0.687,1
Normal Clear,Asphalt,Clear,208.7,0.85,12.91,0.036,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,1581.4,3.83,31.52,0.709,2.3,0.565,1
Pothole,Asphalt,Rainy,1669.8,1.58,68.66,0.455,7.6,0.393,1
Normal Clear,Gravel,Overcast,82.2,0.95,12.04,0.096,0.0,0.02,0
Normal Clear,Concrete,Clear,192.8,0.89,12.81,0.097,0.0,0.02,0
Normal Clear,Asphalt,Clear,140.9,0.92,14.85,0.075,0.0,0.02,0
Normal Clear,Concrete,Rainy,90.1,1.27,7.65,0.077,0.0,0.02,0
Pothole,Asphalt,Overcast,4886.1,1.34,70.04,0.185,8.6,0.51,1
Surface Crack,Asphalt,Clear,1216.5,4.31,52.27,0.744,1.8,0.469,1
Normal Clear,Asphalt,Clear,145.2,1.1,16.95,0.053,0.0,0.02,0
Normal Clear,Concrete,Rainy,125.2,0.68,10.81,0.097,0.0,0.02,0
Pothole,Concrete,Overcast,4062.9,1.73,69.39,0.412,10.7,0.573,1
Normal Clear,Asphalt,Overcast,140.5,0.97,11.1,0.061,0.0,0.02,0
Pothole,Gravel,Overcast,4760.9,1.22,67.7,0.453,6.3,0.459,1
Pothole,Asphalt,Clear,4297.6,1.26,77.32,0.482,13.3,0.743,1
Road Debris,Concrete,Clear,2973.3,1.87,39.21,0.312,9.4,0.314,1
Road Debris,Gravel,Rainy,2283.0,1.75,64.59,0.225,11.0,0.573,1
Road Debris,Asphalt,Overcast,2754.2,1.21,49.15,0.37,11.5,0.454,1
Pothole,Concrete,Clear,5442.7,1.38,64.07,0.623,5.3,0.364,1
Normal Clear,Asphalt,Clear,74.7,0.8,20.22,0.094,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,3604.1,1.33,74.81,0.5,16.4,0.842,1
Pothole,Asphalt,Clear,4353.1,1.15,80.93,0.471,14.0,0.723,1
Normal Clear,Asphalt,Clear,104.4,1.05,9.5,0.072,0.0,0.02,0
Normal Clear,Gravel,Rainy,201.2,1.18,8.01,0.048,0.0,0.02,0
